No.,Barcode Number,Brand Name,Product Description,Category Name,Dosage Form,Manufacturer,Batch Number,Manufacturing Date,Expiry Date,Quantity in Stock,Supplier,Date Received
11,6161116480101,Claritek,CLARITEK(Crarithromycin Tablets USP) 250mg 10 Tablets,Anti-biotic,As directed by physician,Getz Pharma (Pvt.) Limited,312F01,May-24,May-27,1 box,Ilara Health,
12,6161116480118,Claritek,CLARITEK(Crarithromycin Tablets USP) 500mg 10 Tablets,Anti-biotic,As directed by physician,Getz Pharma (Pvt.) Limited,315F01,Aug-24,Aug-27,2 boxes,Ilara Health,
13,6161116480019,Clindazed-300,Clindazed-300 Capsule Clindamycin Hydrochloride Capsules USP 300mg 10*1*10 Capsules,Antibiotics,As directed by physician,Sunrise Remedies Pvt.Ltd,CL304624,06-24,11-26,1 pack,Ilara Health,
14,6161116480064,Coramide,Coramide Loperamide Hydrochloride Capsule B.P. 2mg ,Anti-Diarrhoea,As directed by physician,Comet Healthcare LTD,50107,01-25,12-27,3 packs,Ilara Health,
15,6161116480316,crown plast strapping,zinc oxide adhesive plaster white 1PC,NON PHARMACEUTICALS,As prescribed by physician,zhejiang bangli medical products co ltd,230208,Feb-23,Feb-28,5,Bridgewell Diagnostic Supplies,
16,6161116480590,delased,dry cough non drowsy,Cough Syrup,As directed by physician,regal pharmaceuticals ltd,24181804,Sep-24,Aug-27,2,Ilara Health,
17,6161116480606,delased,chesty cough,Cough Syrup,As prescribed by physician,regal pharmaceuticals ltd,242158,Nov-24,Oct-27,2,Ilara Health,
18,6161116480613,delased,paediatrics,Cough Syrup,As prescribed by physician,regal pharmaceuticals ltd,250578,Mar-25,Feb-28,2,Ilara Health,
19,6161116480620,delased,dry cough,Cough Syrup,As prescribed by physician,regal pharmaceuticals ltd,250654,Mar-25,Feb-28,2,Ilara Health,
20,6161116480637,delased,chesty cough non drowsy,Cough Syrup,As prescribed by physician,regal pharmaceuticals ltd,242160,Nov-24,Oct-27,2,Ilara Health,
21,6161116480163,Diclofenac,DICLOFENAC SODIUM INJECTION 75MG/3ML 10AMPOULES,Analgesics,As directed by physician,REYOUNG PHARMACEUTICAL CO.LTD,202403111,Mar-24,Feb-27,10,Ilara Health,
22,6161116480477,Don-A,DON-A DOMPERIDONE 10 MG 10*10 Tablets,ANTIEMETICS,As directed by physician,THE ACME LABORATORIES LTD,T4084026,May-24,Apr-26,1,Ilara Health,
23,6161116480224,Doxycline,"DOXYCYCLINE 100MG, 100CAPSULES",Antibiotic,As directed by physician,ZAIN PHARMA LTD,C25A003,Jan-25,Dec-27,1,Ilara Health,
24,6161116480200,Emitoss 4,"EMITOSS TABLETS 4MG ,10 TABLETS",Anti-hemetic,As directed by physician,FREDUN PHARMACEUTICALS LTD,DJ0150,Oct-24,Sep-26,1,Ilara Health,
25,6161116480088,Entamaxin ,Entamaxin Capsules The Pan-amoebicide plus antispasmodic 30 Capsules,Anti amoebic,As directed by physician,Sphinx Pharmaceauticals Ltd,00238EXC,04-25,03-28,2 pcs,Ilara Health,
26,6161116480002,Faholo,LIQUID PARAFFIN 100MLS,Liquid Paraffin ,As prescribed by physician,FAHOLO CHEMICAL LTD,20825FLP,Feb-25,Feb-28,2,Ilara Health,
27,6161116480651,faholo,calamine body lotion,lotion,As prescribed by physician,faholo chemicals ltd,21225 fcl,Mar-25,Mar-28,3,Ilara Health,
28,6161116480484,Faholo Hand Sanitizer,HAND SANITIZER SPRAY,SANITIZER,As directed by physician,FAHOLO CHEMICALS LTD,20425FHSS,Jan-25,Jan-28,4,Ilara Health,
